# NOTE: Rows in this file are VS-battle/matchup posts and rating-system meta posts, NOT songs. They were moved here from posts_tails.csv so they are excluded from song-level statistics (Song vs Year, genre breakdowns, blind spots). Do not rate-analyze these rows; keep them for the historical record only. special_type is 'battle' or 'meta'; special_note is the original title (needed because some battles are identified by their numbered title).
date,rating,title,tail,artist,song,title_original,title_english,artist,song,title_original,title_english,special_type,special_note
2021-07-10,,Special Battle: FLYERS by BRADIO vs Go the Distance (Michael Bolton),"cing is too fast and similar to other k-rock in order to win. 

The better song, is Go the Distance.",BRADIO vs Go the Distance (Michael Bolton),Special Battle: FLYERS,,,BRADIO vs Go the Distance (Michael Bolton),Special Battle: FLYERS,,,battle,auto-extracted; see file header note
2021-08-18,72,Ratings without a song assigned,to see these ratings accomplished one by one. I may move down some of my other mediocre songs down.,,Ratings without a song assigned,,,,Ratings without a song assigned,,,meta,auto-extracted; see file header note
2022-03-21,88,Random matchup: Ulaanbaatar at Night (Tan Wei Wei) vs drivers license (Olivia),"e unique, with the ostinato of car beep and the growth to the dreamy chorus. Great songs either way.",Random matchup,Ulaanbaatar at Night (Tan Wei Wei) vs drivers license (Olivia),,,Random matchup,Ulaanbaatar at Night (Tan Wei Wei) vs drivers license (Olivia),,,battle,auto-extracted; see file header note
2022-09-19,,First added songs vs Newest added songs,"overall I think my taste has grown more broad and varied, the Japanese songs are quite interesting.",,,,,,,,,battle,auto-extracted; see file header note
2022-10-08,84,Special Matchup: Tired of California (Nessa Barrett) VS West Coast (One Republic),"and have a catchiness that resembles the good old songs. Still, it isn’t that easy to make the call…",One Republic,Special Matchup: Tired of California (Nessa Barrett) VS West Coast,,,One Republic,Special Matchup: Tired of California (Nessa Barrett) VS West Coast,,,battle,auto-extracted; see file header note
2022-12-29,82,Ancora’s Three Way Battle,"spends a bit long talking about the case, which makes it less enjoyable. The winner, is Libertango.",,,,,,,,,battle,auto-extracted; see file header note
2023-02-07,,Absurd Matchups: Still Waiting (Jazz Emu) VS Floating Life (Yu Peng Chen),"er to have patience, and wait for the DVD Logo to hit the Corner of the TV — as absurd as it sounds.",Yu Peng Chen,Absurd Matchups: Still Waiting (Jazz Emu) VS Floating Life,,,Yu Peng Chen,Absurd Matchups: Still Waiting (Jazz Emu) VS Floating Life,,,battle,auto-extracted; see file header note
2023-02-24,90,Papermoon VS Selfie Face,"moon is probably still the king of the 90 rating, besides Fallin’ (Adrenaline). We will have to see!",,,,,,,,,battle,auto-extracted; see file header note
2023-12-04,,Walking on Sunshine by Katrina vs Night Moves by Bob Seger,ound and leans a bit close to country. Not really my style… I suppose Daylight wins the song battle!,Katrina vs Night Moves by Bob Seger,Walking on Sunshine,,,Katrina vs Night Moves by Bob Seger,Walking on Sunshine,,,battle,auto-extracted; see file header note
2024-03-18,,Flower of Hell VS Hana Ni Natte,"for a J rock song though, for sure.

Hana Ni Natte (Be a Flower)? Sure, I’ll be… the Flower of Hell!",,,,,,,,,battle,auto-extracted; see file header note
2021-08-13,,Battle of the 97’s,"meaning and intentions of the songs are simply too difficult to compare. Well done, the two of you.",,,,,,,,,battle,recovered after accidental deletion during file rename
2020-12-30,,Artist list and rating,"here I culminate random song related information, including a back up of my song list. Check it out!",rating,Artist list,,,rating,Artist list,,,meta,auto-extracted; see file header note
2022-08-04,90,Curated Song Reviews,ening Challenge – I try to listen and review various countries that are less appreciated in general.,,,,,,,,,meta,auto-extracted; see file header note
2023-01-09,72,My Stance on Lofi,"calmer than Lounge or matching ambient, which really isn’t my style. Minimalism feels wrong somehow.",,My Stance on Lofi,,,,My Stance on Lofi,,,meta,auto-extracted; see file header note
2023-01-20,82,various Tamil/English review,"y enjoyment of stringed instruments, but the over use of autotune makes it not very enjoyable sadly.",,,,,,,,,meta,auto-extracted; see file header note
2023-02-27,,Lindsey Stirling [Album] Review,"Violin should be first as the ear grabbing song, but I would personally put Shadows at the very end.",,,,,,,,,meta,auto-extracted; see file header note
2023-03-19,,9sk Musicord R1 Reviews!,"mphister) BEHIND THE MASK • YELLOW MAGIC ORCHESTRA. 

(Isabelle) Masayoshi Takanaka – I Remember You",,9sk Musicord R1 Reviews!,,,,9sk Musicord R1 Reviews!,,,meta,auto-extracted; see file header note
2023-03-22,68,9sk Musicord R2 Reviews!,"cora was more disappointing than I thought it would be, and this round seemed tough for most people.",,9sk Musicord R2 Reviews!,,,,9sk Musicord R2 Reviews!,,,meta,auto-extracted; see file header note
2023-03-24,84,Musicord R3 Reviews!,osted a tournament on Musicord (discord) and Round 3 was catchy up beat songs! Here were my reviews:,,,,,,,,,meta,auto-extracted; see file header note
2023-03-27,,Musicord R4 Reviews,"ws:

Other Songs with bonus:

Kokia – infinity, Etoile Et Toi – Monogatari.Miner at the dial At view",,,,,,,,,meta,auto-extracted; see file header note
2023-03-27,84,Collection of Lesser Represented Genres,"is Lonely Hunter, Feelin’ Good, Moanin’, Convergence (Candy Dulfer), Not the villain I Appear to Be",,Collection of Lesser Represented Genres,,,,Collection of Lesser Represented Genres,,,meta,auto-extracted; see file header note
2023-04-03,88,Musicord R5 Reviews,This round was about Epic solos.,,,,,,,,,meta,auto-extracted; see file header note
2023-04-06,,Musicord R6 reviews!,R6 Was all about duality (two sides)! Here were my reviews:,,,,,,,,,meta,auto-extracted; see file header note
2023-04-07,,Musicord R7 Reviews,this round’s theme was “struggle”.,,,,,,,,,meta,auto-extracted; see file header note
2023-04-11,,Musicord R8 Reviews,"The theme of this round was my disliked genres (jazz, bluegaze, country, metal, etc.)",,,,,,,,,meta,auto-extracted; see file header note
2023-04-13,,Musicord R9 Reviews,"This round’s theme was “obscure music”. That is, less than 250,000 views on youtube.",,,,,,,,,meta,auto-extracted; see file header note
2023-04-16,93,Musicord R10 reviews,This round’s theme was “love songs”.,,,,,,,,,meta,auto-extracted; see file header note
2023-04-16,,Musicord R11 Reviews,this round’s theme was the sea sounding songs or unusual sounds.,,,,,,,,,meta,auto-extracted; see file header note
2023-04-17,,Musicord R12 (Finale) Reviews,this round’s theme was “Fantasy” or magical sounding songs.,,,,,,,,,meta,auto-extracted; see file header note
2023-04-17,39,Musicord Special Reviews,But those background noises really ruin the mood — it’s like Kids Bop trying to sing Enter Sandman…,,,,,,,,,meta,auto-extracted; see file header note
2023-08-18,,Flaws and Motivation Compilation [MNM/Superhero TTRPG],"ngs by Trace Adkins)

RECOGNITION – THOM FRANCK , CURTIS CLACEY AND JAMIE ELDER

Sia – Cheap Thrills",MNM/Superhero TTRPG,Flaws and Motivation Compilation,,,MNM/Superhero TTRPG,Flaws and Motivation Compilation,,,meta,auto-extracted; see file header note
2023-09-09,,Complete Jazz Collection,"情スカート by [Lowland Jazz], Mamamoo by Mr. Ambiguous, BLU-SWING by SUNSET,

Bonus: Cafe de Touhou Album",,,,,,,,,meta,auto-extracted; see file header note
2023-09-21,92,Rap/Hip hop Song Collection,"Powfu, A-Flat by Black violin, Open the Door (longestsoloever)

Bonus: Lone Digger

total count: 16",,,,,,,,,meta,auto-extracted; see file header note
2023-12-13,,Alphabetical Song List,"y Coldplay [“Yang Qi Meng Gu” if including Chinese phonetic]

Z – Zizi’s journey by Lindsey Stirling",,,,,,,,,meta,auto-extracted; see file header note
2024-05-07,72,My “chill song playlist”,"feel it catches attention enough]

Jennifer lopez – come over [the vibraslap is double edged… meh.]",,My “chill song playlist”,,,,My “chill song playlist”,,,meta,auto-extracted; see file header note
2024-05-23,92,full country song list,"– A-yo, Dancing in Circles, Poor Man’s Poison – Hell’s coming With Me [Alt-country]

total count: 15",,,,,,,,,meta,auto-extracted; see file header note
2024-06-19,82,Game Promotion Time!,e Dark”. If you wanna try it go ahead! It’s still in development though. Any feedback would be nice.,,,,,,,,,meta,auto-extracted; see file header note
2025-03-10,,Musicord Tourney No. 2 (2025),"by itself, but yeah the whole tournament was Genshin Impact regions in order (first round was free)",,,,,,,,,meta,auto-extracted; see file header note
2025-05-22,100,one hit song for each year,maybe some modern covers of “Over the Rainbow”. Pretty rare to find anything truly fitting my taste.,,,,,,,,,meta,auto-extracted; see file header note
2026-05-29,,Chat GPT tries to add more artists to my ‘banned list’,"probably most famous one, but even that one feels it just goes over your head. 

Verdict: Not for me",,,,,,,,,meta,auto-extracted; see file header note
