flag,source,rating,artist,song,genre,note
release_row_multi_track,rym,70,The Animals,The House of the Rising Sun / Don't Let Me Be Misunderstood,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Animals,The House of the Rising Sun / Talkin' 'Bout You,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Antoine,Les élucubrations d'Antoine / Qu'est ce qui ne tourne pas rond chez moi,Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Arca,Prada / Rakata,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Arcade Fire,Neighborhood #1 (Tunnels) / My Buddy,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Joan Armatrading,Love and Affection / Help Yourself,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Louis Armstrong and His Hot Five,West End Blues / Fireworks,Blues,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The B-52's,Rock Lobster / 52 Girls,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Badfinger,Baby Blue / Flying,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Master Shankar Banpel,Bul Bul Tarang (Mishra Kafi) / Bul Bul Tarang (Bhairavi),Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Bauhaus,Bela Lugosi's Dead / Boys,Punk,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The BBC Radiophonic Workshop / Brenda & Johnny,Doctor Who / This Can't Be Love,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,B-Complex,Aztec / Girl With Flower,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,B-Complex,Beautiful Lies VIP / Little Oranges,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,The Beach Boys,"God Only Knows / Caroline, No",Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,The Beach Boys,Good Vibrations / I Get Around,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,40,The Beach Boys,Good Vibrations / Let's Go Away for Awhile,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,10,The Beach Boys,Good Vibrations / Wouldn't It Be Nice,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,The Beach Boys,Surf's Up / Don't Go Near the Water,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,The Beach Boys,Wouldn't It Be Nice / God Only Knows,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,The Beach Boys,Wouldn't It Be Nice / Sloop John B,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,The Beatles,All You Need Is Love / Baby You're a Rich Man,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Beatles,Golden Slumbers / Carry That Weight / Here Comes the Sun,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,The Beatles,Help! / Rubber Soul / Revolver,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,40,The Beatles,Let It Be / You Know My Name (Look Up the Number),Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,The Beatles,Something / Come Together,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Beckett,Disco Calypso / St Thomas Mas,Disco/Funk,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Harry Belafonte,Jump in the Line / Angelina,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Chris Bell,I Am the Cosmos / You and Your Sister,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Bembeya Jazz National,Armée Guinéenne / Net a Sec,Jazz/Swing,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Jorge Ben,"Oba, lá vem ela / O telefone tocou novamente",Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Jorge Ben e Os Copa 5,"Mas, que nada! / Por causa de você, menina",Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,George Benson,Breezin' / Six to Four,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,George Benson,"Give Me the Night / Dinorah, Dinorah",Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Chuck Berry,Johnny B. Goode / Around and Around,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Big Black,Kerosene / Il Duce,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Big Star,Thirteen / Watch the Sunrise,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,black midi,Sugar / Tzu,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Ritchie Blackmore's Rainbow,Man on the Silver Mountain / Snake Charmer,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Black Sabbath,Paranoid / The Wizard,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Blondie,Heart of Glass / Rifle Range,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Blondie,One Way or Another / Dreaming,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Blue Nile,The Downtown Lights / The Wires Are Down / Halfway to Paradise,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Blues Traveler,Hook / Love & Greed,Blues,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Boards of Canada,Telephasic Workshop / Roygbiv,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Bombino,Azamane Tiliade / Si Chilan,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,90,Boney M.,Rasputin / Painter Man,Reggae/Dub,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Bon Jovi,Livin' on a Prayer / Wild in the Streets,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Boston,More Than a Feeling / Smokin',Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,David Bowie,"""Heroes"" / V-2 Schneider",Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,David Bowie,Ashes to Ashes / Move On,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,David Bowie,Heroes - Helden / Heroes - Héros,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,David Bowie,Life on Mars? / The Man Who Sold the World,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,David Bowie,Sound and Vision / A New Career in a New Town,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,David Bowie,Starman / Suffragette City,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Bright Eyes,First Day of My Life / When the President Talks to God,Indie/Alternative,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Bronski Beat,Smalltown Boy / Memories,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,10,Danny Brown,Ain't It Funny / Worth It,Rap/Hip-Hop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Dave Brubeck Quartet,Take Five / Blue Rondo a la Turk,Jazz/Swing,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Chico Buarque,Construção / Cotidiano,Latin,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Lindsey Buckingham,Trouble / Mary Lee Jones,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Built to Spill,Untrustable / Part 2 (About Someone Else),Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Kate Bush,Cloudbusting / Burning Bridge,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've?) / Just Lust,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,The Byrds,Turn! Turn! Turn! (To Everything There Is a Season) / You Ain't Goin' Nowhere,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Black Box,Ride on Time / Ghost Box,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Blue Öyster Cult,(Don't Fear) The Reaper / Tattoo Vampire,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Daniel Caesar,Get You / Japanese Denim,J-Pop/Anime,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Café Tacvba,Revés / Yosoy,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Bobby Caldwell,What You Won't Do for Love / Love Won't Wait,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Glen Campbell,Wichita Lineman / Fate of Man,Country,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Can,Spoon / Shikaku Maru Ten / Vitamin C / I'm So Green,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Can,Vitamin C / I'm So Green,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,John Carpenter,Halloween Theme / Laurie Knows,Soundtrack/Score,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cars,Just What I Needed / I'm in Touch With Your World,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Nick Cave & The Bad Seeds,The Mercy Seat / New Day,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Chameleon,Links / Just Close Your Eyes & Listen,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Chameleons,"Swamp Thing / John, I'm Only Dancing",Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Champs,Train to Nowhere / Tequila,Disco/Funk,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,The Chances-R,Turn a New Leaf Over / Do It Yourself,Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Charli xcx,Focus / No Angel,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Cheap Trick,Surrender / Auf Wiedersehen,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Stephen Cheng / The Blues Busters,Always Together (A Chinese Love Song) / Soon You'll Be Gone,Blues,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Chic,Good Times / A Warm Summer Night,Disco/Funk,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Chic,Le Freak / Savoir Faire,Disco/Funk,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Chills,Pink Frost / Purple Girl,Indie/Alternative,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,The Church,Reptile / Texas Moon,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Church,Under the Milky Way / Warm Spell / Musk,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Kelly Clarkson,Since U Been Gone / Breakaway,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Jimmy Cliff,The Harder They Come / Many Rivers to Cross,Reggae/Dub,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Riccardo Cocciante,Margherita / Primavera,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Cocteau Twins,"Love's Easy Tears / Those Eyes, That Mouth",Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,20,Leonard Cohen,Dress Rehearsal Rag / Avalanche,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Leonard Cohen,"Suzanne / Hey, That's No Way to Say Goodbye",Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,King Cole / The King Cole Trio,Nature Boy / Lost April,Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Sam Cooke,Wonderful World / Chain Gang,R&B/Soul,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Elvis Costello,Alison / Welcome to the Working Week,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Elvis Costello & The Attractions,Oliver's Army / My Funny Valentine,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Max Coveri,Running in the 90's / Golden Age,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cramps,Human Fly / Domino,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Beverley Craven,Holding On / Look No Further,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Beverley Craven,Promise Me / I Listen to the Rain,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Creedence Clearwater Revival,Have You Ever Seen the Rain / Hey Tonight,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Creedence Clearwater Revival,Run Through the Jungle / Up Around the Bend,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Jim Croce,Time in a Bottle / Hard Time Losin' Man,Blues,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Jim Croce,Time in a Bottle / Workin' at the Car Wash Blues,Blues,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Jim Croce,You Don't Mess Around With Jim / Photographs and Memories,Blues,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Bing Crosby,White Christmas / Let's Start the New Year Right,Christmas/Holiday,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,"Crosby, Stills, Nash & Young",Ohio / Find the Cost of Freedom,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Crowded House,Don't Dream It's Over / That's What I Call Love,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Crusaders,Street Life / The Hustler,Jazz/Swing,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cult,She Sells Sanctuary / No 13,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Cults,Abducted / Go Outside,Indie/Alternative,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cure,A Forest / Another Journey by Train,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cure,Disintegration / Plainsong,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cure,In Between Days / The Exploding Boy,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cure,Just Like Heaven / Snow in Summer,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cure,Lovesong / 2 Late,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cure,Love Song / Fascination Street,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Cure,One Hundred Years / The Hanging Garden,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,The Cure / Faith No More,Pictures of You / From Out of Nowhere,Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Daft Punk,Da Funk / Rollin' & Scratchin',Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Dick Dale and The Del-Tones,Miserlou / Eight Till Midnight,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Damned,New Rose / Help,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Deacon Blue,When Will You (Make My Telephone Ring) / Church,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Dead Kennedys,Holiday in Cambodia / Police Truck,Christmas/Holiday,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Death,Politicians in My Eyes / Keep On Knockin',Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Deee-Lite,Groove Is in the Heart / What Is Love?,Disco/Funk,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Delegation,Oh Honey / Let Me Take You to the Sun,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Lana Del Rey,Candy Necklace / Jon Batiste Interlude,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Martin Denny,Quiet Village / Llama Serenade,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,John Denver,"Take Me Home, Country Roads / Poems, Prayers and Promises",Country,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Depeche Mode,Enjoy the Silence / Memphisto,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Depeche Mode,"Never Let Me Down Again / Pleasure, Little Treasure.",Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Depeche Mode / Robert Palmer,A Question of Lust / Addicted to Love,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,100,Derek and The Dominos,Layla / Bell Bottom Blues,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,William DeVaughn,"Be Thankful for What You Got / Be Thankful for What You Got, Part 2",R&B/Soul,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Manu Dibango,Soul Makossa / Lily,R&B/Soul,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,30,Digital Mystikz,Haunted / Anti War Dub,Reggae/Dub,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Dionne & Friends,That's What Friends Are For / Two Ships Passing in the Night,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Dire Straits,Sultans of Swing / Eastbound Train [Live],Jazz/Swing,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Dismemberment Plan,What Do You Want Me to Say? / Since You Died,Indie/Alternative,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Divinyls,I Touch Myself / Follow Through,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Doobie Brothers,What a Fool Believes / Don't Stop to Watch the Wheels,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The Durutti Column,Sketch for Summer / Sketch for Winter,Christmas/Holiday,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Bob Dylan,Like a Rolling Stone / Gates of Eden,Folk/Acoustic,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Bob Dylan,"Tangled Up in Blue / If You See Her, Say Hello",Folk/Acoustic,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Echo & The Bunnymen,The Killing Moon / Do It Clean,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Electric Light Orchestra,Can't Get It Out of My Head / Strange Magic,Classical/Instrumental,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Electric Light Orchestra,Mr. Blue Sky / One Summer Dream,Classical/Instrumental,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Duke Ellington and His Famous Orchestra,Caravan / Azure,Classical/Instrumental,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Duke Ellington and His Famous Orchestra,"Take the ""A"" Train / The Sidewalks of New York",Classical/Instrumental,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Eno,Third Uncle / The Fat Lady of Limbourg,R&B/Soul,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Brian Eno & Snatch,King's Lead Hat / R.A.F.,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Eric B. & Rakim,I Ain't No Joke / Extended Beat / Eric B Is on the Cut,Electronic/Dance,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,David Essex,Rock On / On and On,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Eurythmics,Here Comes the Rain Again / Paint a Rumour,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Fábio,LSD lindo sonho delirante / O reloginho,Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,30,Fishmans,いかれたBaby / 感謝(驚) / Weather Report,Metal,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Ella Fitzgerald,Once Too Often / Time Alone Will Tell,Jazz/Swing,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,90,Roberta Flack,Killing Me Softly With His Song / Just Like a Woman,R&B/Soul,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Flamin' Groovies,Shake Some Action / Teenage Confidential,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,The Flamingos,I Only Have Eyes for You / Goodnight Sweetheart,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,"Lester Flatt, Earl Scruggs and the Foggy Mountain Boys",Foggy Mountain Breakdown / No Mother or Dad,Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Fleetwood Mac,Dreams / Songbird,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Fleetwood Mac,Gold Dust Woman / Gypsy,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Fleetwood Mac,Sara / That's Enough for Me,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Fleetwood Mac,The Chain / Go Your Own Way,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,A Flock of Seagulls,Space Age Love Song / Windows,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Eddie Floyd,Knock on Wood / Got to Make a Comeback,R&B/Soul,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,40,Emile Ford and The Checkmates,On a Slow Boat to China / That Lucky Old Sun,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Foxes,Youth / Home,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Aretha Franklin,Rock Steady / Oh Me Oh My (I'm a Fool for You),Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,The Frantics,Werewolf / No Werewolf,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Friends Again / The Waterboys,State of Art / Because the Nigth / The Pan Within,Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Funkadelic,Can You Get to That / Back in Our Minds,Disco/Funk,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Future Islands,Seasons (Waiting on You) / One Day,Indie/Alternative,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,f(x),4 Walls / Cowboy,Country,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Peter Gabriel,Solsbury Hill / Games Without Frontiers,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Peter Gabriel,Solsbury Hill / Moribund the Burgermeister,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
